epoch,train_acc,train_precision,train_recall,train_f1,train_loss,val_acc,val_precision,val_recall,val_f1,val_loss
1,0.7155963302752294,0.7397166903745851,0.647305834262356,0.678079687034911,0.7260694771731665,0.7714285714285715,0.5714285714285715,0.6666666666666666,0.6111111111111112,0.5822305658033916
2,0.9357798165137615,0.9533577533577534,0.9175213675213675,0.9316879432624113,0.2090328993327027,0.8285714285714286,0.923076923076923,0.75,0.7565217391304347,0.5784922726718443
3,0.944954128440367,0.9588068181818182,0.9303418803418803,0.9422043010752689,0.15993472752631258,0.8857142857142857,0.9444444444444445,0.8333333333333334,0.8585858585858586,0.28312341174376865
4,0.9908256880733946,0.9945355191256832,0.9871794871794872,0.9907092313509426,0.0683790792565827,0.9714285714285714,0.9841269841269842,0.9583333333333334,0.9696476964769648,0.1657165687664279
5,0.9908256880733946,0.9945355191256832,0.9871794871794872,0.9907092313509426,0.07227642000268358,0.9142857142857143,0.9565217391304347,0.875,0.8998211091234346,0.254806270229996
6,0.9724770642201835,0.9841269841269842,0.9615384615384616,0.9714617554338809,0.11408981598845315,0.9142857142857143,0.9565217391304347,0.875,0.8998211091234346,0.2854083095153328
7,0.9541284403669725,0.9643432252127905,0.943162393162393,0.952436259056468,0.1401323912101328,0.9714285714285714,0.9841269841269842,0.9583333333333334,0.9696476964769648,0.11100467031106485
8,0.9724770642201835,0.9757377049180328,0.9688034188034188,0.9721276940528277,0.06814048569136803,0.9714285714285714,0.9841269841269842,0.9583333333333334,0.9696476964769648,0.0744859480548517
9,0.963302752293578,0.9699820788530467,0.955982905982906,0.9624043715846994,0.07990571029415917,0.9714285714285714,0.9841269841269842,0.9583333333333334,0.9696476964769648,0.03559779368640323
10,0.9908256880733946,0.9876543209876543,0.9944444444444445,0.99090957137572,0.07682464005203422,1.0,1.0,1.0,1.0,0.007343525871900575
11,0.9908256880733946,0.9876543209876543,0.9944444444444445,0.99090957137572,0.042151291111330376,1.0,1.0,1.0,1.0,0.01239475402981043
12,0.963302752293578,0.9699820788530467,0.955982905982906,0.9624043715846994,0.1325063421091902,1.0,1.0,1.0,1.0,0.011886690743267536
13,0.9908256880733946,0.9876543209876543,0.9944444444444445,0.99090957137572,0.06265773118362514,1.0,1.0,1.0,1.0,0.021737238498670715
14,0.9908256880733946,0.9876543209876543,0.9944444444444445,0.99090957137572,0.05982156743833778,0.9714285714285714,0.9841269841269842,0.9583333333333334,0.9696476964769648,0.05566495740287272
15,0.9908256880733946,0.9945355191256832,0.9871794871794872,0.9907092313509426,0.07691311685863984,0.9142857142857143,0.9565217391304347,0.875,0.8998211091234346,0.23163066695727008
16,0.9908256880733946,0.9945355191256832,0.9871794871794872,0.9907092313509426,0.03568621301049486,0.9142857142857143,0.9565217391304347,0.875,0.8998211091234346,0.2719075435764223
17,0.9724770642201835,0.9757377049180328,0.9688034188034188,0.9721276940528277,0.060835317289883936,0.9714285714285714,0.9841269841269842,0.9583333333333334,0.9696476964769648,0.2086490493187609
18,1.0,1.0,1.0,1.0,0.012305026720149801,0.9714285714285714,0.9841269841269842,0.9583333333333334,0.9696476964769648,0.17347133488887526
19,0.9908256880733946,0.9876543209876543,0.9944444444444445,0.99090957137572,0.041618882721170376,0.9714285714285714,0.9841269841269842,0.9583333333333334,0.9696476964769648,0.15242952933921125
20,0.9908256880733946,0.9876543209876543,0.9944444444444445,0.99090957137572,0.048221000273703435,0.9714285714285714,0.9841269841269842,0.9583333333333334,0.9696476964769648,0.15780549683973472
21,0.9908256880733946,0.9945355191256832,0.9871794871794872,0.9907092313509426,0.020984726146273655,0.9714285714285714,0.9841269841269842,0.9583333333333334,0.9696476964769648,0.1411335906291892
22,1.0,1.0,1.0,1.0,0.013066494884396639,0.9714285714285714,0.9841269841269842,0.9583333333333334,0.9696476964769648,0.134825055087796
23,0.981651376146789,0.989247311827957,0.9743589743589745,0.9812021857923497,0.05342925415126556,0.9714285714285714,0.9841269841269842,0.9583333333333334,0.9696476964769648,0.12092605521621798
24,0.9908256880733946,0.9945355191256832,0.9871794871794872,0.9907092313509426,0.029894158039071143,0.9714285714285714,0.9841269841269842,0.9583333333333334,0.9696476964769648,0.13148816093598725
25,1.0,1.0,1.0,1.0,0.010891746627081424,0.9714285714285714,0.9841269841269842,0.9583333333333334,0.9696476964769648,0.10993277183380477
26,1.0,1.0,1.0,1.0,0.01254422538443853,0.9714285714285714,0.9841269841269842,0.9583333333333334,0.9696476964769648,0.10033754835458239
27,0.9908256880733946,0.9945355191256832,0.9871794871794872,0.9907092313509426,0.02544989468478555,0.9714285714285714,0.9841269841269842,0.9583333333333334,0.9696476964769648,0.09482839426304314
28,0.9908256880733946,0.9945355191256832,0.9871794871794872,0.9907092313509426,0.01678674973103158,0.9714285714285714,0.9841269841269842,0.9583333333333334,0.9696476964769648,0.10151734315066797
29,0.9908256880733946,0.9876543209876543,0.9944444444444445,0.99090957137572,0.023017157125500363,0.9714285714285714,0.9841269841269842,0.9583333333333334,0.9696476964769648,0.09724668167036725
30,0.9908256880733946,0.9876543209876543,0.9944444444444445,0.99090957137572,0.03027217828352517,0.9714285714285714,0.9841269841269842,0.9583333333333334,0.9696476964769648,0.10215888127568178
